,Years,Data
0,2013,2.037670795592324e-05
1,2014,2.8019397025976407e-05
2,2015,1.5544986733099602e-05
3,2012,3.399753556247257e-05
4,1988,3.63201634172583e-05
5,1986,2.0517729656906642e-05
6,1987,2.098307595588267e-05
7,1989,2.4939922999086168e-05
8,1993,2.1602795944393922e-05
9,1994,2.5278669302982355e-05
10,1995,3.271593656487918e-05
11,1992,2.4526394705996307e-05
12,2008,2.156164615977711e-05
13,2001,2.435686974422424e-05
14,2006,2.119876277599057e-05
15,2007,3.47853465427761e-05
16,2000,1.8237289623357356e-05
17,2009,2.1332353147348233e-05
18,2017,2.6292009048726566e-05
19,2010,2.5177059796988033e-05
20,2018,3.068705215506876e-05
21,2011,2.1333518967973458e-05
22,2016,2.568014861026313e-05
23,1985,2.244061609720423e-05
24,1982,1.983004904104746e-05
25,1983,1.927663985649512e-05
26,1984,9.491683537513987e-06
27,1997,2.6374088520242367e-05
28,1990,1.0877552843642965e-05
29,1999,3.361842027516104e-05
30,1998,2.8025657835920963e-05
31,1991,1.3378198976473262e-05
32,1996,2.155475673741118e-05
33,2005,2.2294256874981027e-05
34,2002,1.8832030339884415e-05
35,2003,3.279800512245856e-05
36,2004,1.702582327804218e-05
